x,y,label
-6.61282,17.4292,2
-5.03691,17.7399,0
-4.92072,17.2556,0
-6.56906,18.0971,2
-5.17018,18.6169,1
-4.97282,17.377,0
-4.94859,17.6433,0
-6.21869,17.6941,2
-5.86519,16.5137,2
-4.70749,19.5039,3
-6.93717,18.0021,2
-4.66138,17.3357,0
-4.22736,17.1192,0
-3.74073,17.437,0
-5.94533,17.969,2
-4.72532,17.3142,0
-4.32825,17.6274,0
-5.83662,20.121,1
-5.79122,17.7918,2
-5.7337,18.7082,1
-3.71292,18.0496,0
-6.39606,17.0907,2
-5.92642,16.6163,2
-4.20553,18.6582,3
-4.67478,16.2655,0
-4.95087,16.6038,0
-5.81092,17.9138,2
-5.03189,16.9709,0
-5.91681,18.5205,1
-6.12473,16.8324,2
-4.657,19.5666,3
-3.57712,16.5927,0
-4.43154,20.219,3
-5.09041,19.0321,1
-5.80165,17.7065,2
-5.9999,18.4907,1
-5.05311,16.8599,0
-4.90488,18.6907,3
-7.63814,18.8505,1
-5.68018,18.881,1
-5.23807,18.3857,1
-5.84389,17.7072,2
-4.39428,18.6569,3
-5.60776,18.8782,1
-4.7417,18.8558,3
-4.04328,17.8815,0
-4.96019,16.8856,0
-3.5405,17.5103,0
-6.62588,18.2132,2
-4.94259,17.3514,0
-7.14229,17.5028,2
-4.84521,18.4139,3
-4.27993,18.1999,3
-6.16939,18.4043,1
-4.66061,18.5894,3
-4.57458,18.8032,3
-5.54816,18.5418,1
-5.69842,18.2608,1
-4.77343,17.5216,0
-3.85523,18.0388,0
-4.7374,17.4059,0
-5.77753,18.179,1
-4.7943,18.0412,0
-3.55275,17.8028,0
-5.13294,19.2664,1
-4.91874,17.5251,0
-5.6201,19.8808,1
-3.86028,18.8202,3
-4.80953,16.0689,0
-5.47903,19.0857,1
-4.69568,17.2013,0
-6.74331,17.4663,2
-5.28305,20.7487,3
-3.87557,18.7805,3
-5.45844,18.1593,1
-5.00539,19.4821,3
-5.25255,17.7944,2
-3.93534,19.0824,3
-5.85761,17.7194,2
-5.61903,17.7369,2
-3.25294,18.4336,3
-5.84739,17.4684,2
-5.23608,19.1273,1
-4.19298,18.8421,3
-8.25966,17.0042,2
-5.50376,18.1104,1
-5.05422,19.5932,3
-6.53777,17.5443,2
-4.60546,17.4648,0
-2.82859,17.2203,0
-4.72227,18.2896,3
-6.00893,17.4623,2
-4.95817,20.4918,3
-5.0955,18.3697,1
-5.84062,18.2723,1
-5.69532,18.6402,1
-6.25535,16.7081,2
-6.27928,18.9464,1
-4.92132,18.9972,3
-5.33366,18.7875,1
-6.33863,19.86,1
-5.01328,17.794,0
-3.43238,16.7908,0
-5.72045,17.7009,2
-4.39273,17.1714,0
-4.16074,17.8686,0
-4.4475,19.1641,3
-2.87445,18.6625,3
-4.06797,17.4517,0
-4.79094,19.3357,3
-4.1188,18.3359,3
-6.49692,17.3087,2
-4.51341,18.8943,3
-5.82689,17.5268,2
-3.56725,18.9878,3
-4.9214,18.6237,3
-5.48181,17.5628,2
-5.13404,17.7275,0
-6.34658,18.2254,1
-5.0393,18.1459,1
-3.6156,16.6267,0
-5.12716,18.4303,1
-4.14607,18.2119,3
-4.54516,17.9557,0
-3.9874,18.9599,3
-3.75148,17.3209,0
-4.8043,16.7828,0
-5.93782,19.5785,1
-4.69431,17.6435,0
-4.50335,21.8813,3
-6.03123,18.3428,1
-4.49905,19.5613,3
-4.99389,18.5266,1
-5.99308,18.8157,1
-4.33214,16.4159,0
-5.74876,18.245,1
-4.10299,18.3573,3
-2.89624,19.061,3
-5.01315,18.0756,1
-4.77643,16.1153,0
-2.86521,17.2612,0
-4.20488,16.7977,0
-5.26378,17.2748,2
-4.19585,16.8077,0
-4.49645,18.3256,3
-5.48943,18.2606,1
-4.81934,17.4284,0
-5.27096,16.7808,0
-4.68713,19.0041,3
-5.73684,17.8151,2
-3.8598,17.2079,0
-4.67664,19.9047,3
-4.06439,18.68,3
-4.69423,17.8984,0
-4.33644,17.7183,0
-5.17968,18.4326,1
-6.08929,18.511,1
-6.2097,18.6851,1
-5.49757,17.8429,2
-4.05502,18.4414,3
-5.90225,18.1823,1
-5.03741,17.026,0
-4.93135,17.7296,0
-4.50336,18.5424,3
-4.7679,18.375,3
-6.0807,18.5022,1
-2.88536,16.0765,0
-3.83896,17.5594,0
-4.2711,18.6389,3
-5.4105,16.5651,2
-5.49033,19.1175,1
-6.73153,19.3824,1
-5.21076,18.3301,1
-3.38598,16.5984,0
-4.76084,17.9541,0
-5.56278,18.1395,1
-6.43377,17.6079,2
-5.49334,17.3752,2
-3.43918,18.796,3
-7.04354,18.215,2
-6.02441,16.8144,2
-4.4713,17.8264,0
-4.92663,16.041,0
-4.75851,18.8104,3
-5.46491,18.885,1
-5.24186,18.7426,1
-4.65676,17.3835,0
-4.20587,19.3848,3
-4.95412,16.9508,0
-5.85812,17.4292,2
-5.48787,18.5711,1
-6.46648,16.6211,2
-5.36111,17.2263,2
-4.37071,19.5516,3
-2.70374,16.1613,0
-3.15262,18.5024,3
-5.90791,17.2128,2
-5.22652,17.5356,2
-4.19634,19.9254,3
-5.03064,17.1313,0
-3.13221,18.2031,3
